# VERSION  10202
#
# format                    ions (mass fraction)     
# created at                Wed Sep  6 02:53:45 2017 
# created by                alex                     
# created on                aurum.maths.monash.edu   
# created from              /home/alex/Downloads/s1#hign
# file date                 Wed Sep  6 02:53:27 2017 
# created as                /home/alex/Downloads/s1@hign
# cycle                     3657                     
# time (sec)                5.92904631975508600e+15  
# time offset (sec)         0.00000000000000000e+00  
# GIT  SHA                  0000000000000000000000000000000000000000
# GIT  BRANCH               (NOT ON BRANCH)
# UUID PROG                 00000000-0000-0000-0000-000000000000 
# UUID RUN                  00000000-0000-0000-0000-000000000000 
# UUID CYCLE                00000000-0000-0000-0000-000000000000 
# UUID DUMP                 00000000-0000-0000-0000-000000000000 
# UUID EXEC                 00000000-0000-0000-0000-000000000000 
# UUID THIS FILE            99b91b9e-92ae-11e7-ae34-3417ebbdc1fc (Wed Sep  6 02:53:45 2017)
#
# grid                cell mass    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure   cell spec. int. energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e                      nt1                       h1                      he4                      c12                      n14                      o16                     ne20                     mg24                     si28                      s32                     ar36                     ca40                     ti44                     cr48                     fe52                     fe54                     ni56                     fe56                     'fe'
# unit                        g                        g                       cm                   cm/sec                  g/cm**3                        K                dyn/cm**2                    erg/g                kb/baryon                  rad/sec                      amu                                     mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction
    21  2.55427225704214565e+30  5.58909655061603707e+31  5.51416931509082890e+09 -6.85737685753729785e-09  7.58456372882415337e+01  1.27167249362743329e+07  1.31058266759914080e+17  2.57833495028530850e+15  1.60169566366030658e+01  0.00000000000000000e+00  1.29078258016370628e+00  8.51786770799679793e-01  0.00000000000000000e+00  7.03519403251332776e-01  2.81060402840233703e-01  5.02699987190916015e-05  3.64585728861489648e-03  6.61748274201172382e-03  1.30599353794390782e-03  7.91396084172140161e-04  8.29395896149018623e-04  4.23297905521932282e-04  1.13099440383961078e-04  7.38096347899203195e-05  3.82798105914944756e-06  3.42898303339186366e-05  0.00000000000000000e+00  1.46099277100764720e-03  0.00000000000000000e+00                        -                        -
    22  2.76571217629605243e+30  5.86566776824564254e+31  5.60838522879239845e+09 -6.94092357388592167e-09  7.55289364496723152e+01  1.26861544625683930e+07  1.30204739179853696e+17  2.57226891205902200e+15  1.60190933121044203e+01  0.00000000000000000e+00  1.29065392587868821e+00  8.51838121749688093e-01  0.00000000000000000e+00  7.03622898326646928e-01  2.80957284359178272e-01  5.91437792443527867e-05  3.63547947408828214e-03  6.61751139410370233e-03  1.30599353794390717e-03  7.91396084172140161e-04  8.29395896149018623e-04  4.23297905521932336e-04  1.13099440383961092e-04  7.38096347899203195e-05  3.82798105914944671e-06  3.42898303339186298e-05  0.00000000000000000e+00  1.46099277100764763e-03  0.00000000000000000e+00                        -                        -
    23  2.34572199312118767e+30  6.10023996755776170e+31  5.68618651461145878e+09 -7.00885093400411009e-09  7.52304200309889382e+01  1.26572990970132910e+07  1.29400482160991664e+17  2.56650984889967400e+15  1.60209222091825936e+01  0.00000000000000000e+00  1.29055297588154216e+00  8.51878428120954267e-01  0.00000000000000000e+00  7.03704256278022577e-01  2.80876124621429912e-01  6.66724868526747533e-05  3.62667893363540720e-03  6.61753087781017605e-03  1.30599353794390695e-03  7.91396084172139944e-04  8.29395896149018406e-04  4.23297905521932282e-04  1.13099440383961078e-04  7.38096347899203060e-05  3.82798105914944587e-06  3.42898303339186298e-05  0.00000000000000000e+00  1.46099277100764742e-03  0.00000000000000000e+00                        -                        -
    24  2.53996137256733374e+30  6.35423610481449513e+31  5.76840173539071751e+09 -7.07961164698929979e-09  7.49477482191985729e+01  1.26300844206617102e+07  1.28643869147079424e+17  2.56111331016912800e+15  1.60228962546746878e+01  0.00000000000000000e+00  1.29043512032298535e+00  8.51925412128927806e-01  0.00000000000000000e+00  7.03798884974163097e-01  2.80782268204613883e-01  7.74036599946444710e-05  3.61413772652802948e-03  6.61755545507692212e-03  1.30599353794390630e-03  7.91396084172139727e-04  8.29395896149018189e-04  4.23297905521932336e-04  1.13099440383961037e-04  7.38096347899203060e-05  3.82798105914944756e-06  3.42898303339186366e-05  0.00000000000000000e+00  1.46099277100764742e-03  0.00000000000000000e+00                        -                        -
    25  2.75028489865927675e+30  6.62926459468042241e+31  5.85520303969243717e+09 -7.15313740202031293e-09  7.46469071267198245e+01  1.26010405136356931e+07  1.27838113762256512e+17  2.55531494886350350e+15  1.60247701120838251e+01  0.00000000000000000e+00  1.29033362731232004e+00  8.51965893413686781e-01  0.00000000000000000e+00  7.03880556899889487e-01  2.80701112155424204e-01  8.70988242362098276e-05  3.60281099958804788e-03  6.61757340021005332e-03  1.30599353794390630e-03  7.91396084172139727e-04  8.29395896149018081e-04  4.23297905521932336e-04  1.13099440383961037e-04  7.38096347899202924e-05  3.82798105914944671e-06  3.42898303339186298e-05  0.00000000000000000e+00  1.46099277100764742e-03  0.00000000000000000e+00                        -                        -
    26  2.33262116844428227e+30  6.86252671152485083e+31  5.92712846322467804e+09 -7.21317369229379905e-09  7.43607980194801428e+01  1.25735688975276407e+07  1.27077269844568640e+17  2.54986700359904400e+15  1.60268121215519201e+01  0.00000000000000000e+00  1.29021386921098480e+00  8.52013569406690929e-01  0.00000000000000000e+00  7.03976533189550224e-01  2.80606399582621069e-01  1.01049271115393293e-04  3.58651519938345742e-03  6.61759657603353067e-03  1.30599353794390522e-03  7.91396084172139727e-04  8.29395896149017647e-04  4.23297905521932065e-04  1.13099440383960956e-04  7.38096347899202247e-05  3.82798105914944417e-06  3.42898303339186163e-05  0.00000000000000000e+00  1.46099277100764698e-03  0.00000000000000000e+00                        -                        -
    27  2.52578207359685041e+30  7.11510491888453542e+31  6.00336357182473850e+09 -7.27588539554742404e-09  7.40914952494885739e+01  1.25476182234306093e+07  1.26360324218605760e+17  2.54468469918497900e+15  1.60285199823291045e+01  0.00000000000000000e+00  1.29012326426735013e+00  8.52049662929549423e-01  0.00000000000000000e+00  7.04049319066988089e-01  2.80534401717357107e-01  1.11873770650258578e-04  3.57387378065604847e-03  6.61761124567551012e-03  1.30599353794390500e-03  7.91396084172139511e-04  8.29395896149017538e-04  4.23297905521932011e-04  1.13099440383960956e-04  7.38096347899202247e-05  3.82798105914944417e-06  3.42898303339186163e-05  0.00000000000000000e+00  1.46099277100764698e-03  0.00000000000000000e+00                        -                        -
    28  2.73493834730051762e+30  7.38859875361458741e+31  6.08409539808731461e+09 -7.34125206568380214e-09  7.38034064533847101e+01  1.25198782785077896e+07  1.25595548796663216e+17  2.53914344985303900e+15  1.60303569339226435e+01  0.00000000000000000e+00  1.29002703444150657e+00  8.52087977973954636e-01  0.00000000000000000e+00  7.04126572688404284e-01  2.80458124963455790e-01  1.24358538346947673e-04  3.55929514538307198e-03  6.61762618620142119e-03  1.30599353794390500e-03  7.91396084172139294e-04  8.29395896149017538e-04  4.23297905521932011e-04  1.13099440383960942e-04  7.38096347899202247e-05  3.82798105914944417e-06  3.42898303339186095e-05  0.00000000000000000e+00  1.46099277100764677e-03  0.00000000000000000e+00                        -                        -
    29  2.31962508540843464e+30  7.62056126215543093e+31  6.15117292397133923e+09 -7.39477494252823843e-09  7.35291493344889631e+01  1.24935968096656669e+07  1.24872200193474016e+17  2.53392394027484200e+15  1.60323257867317892e+01  0.00000000000000000e+00  1.28991589874555390e+00  8.52132129331078736e-01  0.00000000000000000e+00  7.04215421705031930e-01  2.80371092104039821e-01  1.41650265351317200e-04  3.53910486865928724e-03  6.61764515216563438e-03  1.30599353794390500e-03  7.91396084172139944e-04  8.29395896149018189e-04  4.23297905521932119e-04  1.13099440383960983e-04  7.38096347899202924e-05  3.82798105914944587e-06  3.42898303339186366e-05  0.00000000000000000e+00  1.46099277100764828e-03  0.00000000000000000e+00                        -                        -
    30  2.51172938017970169e+30  7.87173420017340127e+31  6.22244107750759315e+09 -7.45081709138217722e-09  7.32705641964534635e+01  1.24687389903051946e+07  1.24189688510449760e+17  2.52895683802762600e+15  1.60340014986178900e+01  0.00000000000000000e+00  1.28982989199960651e+00  8.52166326560367615e-01  0.00000000000000000e+00  7.04284344363627857e-01  2.80303378120134117e-01  1.55031281852256893e-04  3.52348295952492271e-03  6.61765740727033019e-03  1.30599353794390500e-03  7.91396084172139944e-04  8.29395896149018297e-04  4.23297905521932173e-04  1.13099440383960997e-04  7.38096347899202924e-05  3.82798105914944587e-06  3.42898303339186366e-05  0.00000000000000000e+00  1.46099277100764828e-03  0.00000000000000000e+00                        -                        -
