# VERSION  10202
#
# format                    ions (mass fraction)     
# created at                Wed Sep  6 03:08:28 2017 
# created by                alex                     
# created on                aurum.maths.monash.edu   
# created from              /home/alex/Downloads/s1#30000
# file date                 Wed Sep  6 02:53:22 2017 
# created as                /home/alex/Downloads/s1@30000
# cycle                     30000                    
# time (sec)                3.43062731611546752e+17  
# time offset (sec)         0.00000000000000000e+00  
# GIT  SHA                  0000000000000000000000000000000000000000
# GIT  BRANCH               (NOT ON BRANCH)
# UUID PROG                 00000000-0000-0000-0000-000000000000 
# UUID RUN                  00000000-0000-0000-0000-000000000000 
# UUID CYCLE                00000000-0000-0000-0000-000000000000 
# UUID DUMP                 00000000-0000-0000-0000-000000000000 
# UUID EXEC                 00000000-0000-0000-0000-000000000000 
# UUID THIS FILE            a7fa6c38-92b0-11e7-bb1f-3417ebbdc1fc (Wed Sep  6 03:08:28 2017)
#
# grid                cell mass    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure   cell spec. int. energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e                      nt1                       h1                      he4                      c12                      n14                      o16                     ne20                     mg24                     si28                      s32                     ar36                     ca40                     ti44                     cr48                     fe52                     fe54                     ni56                     fe56                     'fe'
# unit                        g                        g                       cm                   cm/sec                  g/cm**3                        K                dyn/cm**2                    erg/g                kb/baryon                  rad/sec                      amu                                     mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction            mass fraction
   331  1.07673783823208377e+30  5.71581580742039121e+32  9.60506962626677155e+08 -9.64652915942267441e-07  5.26427200038784504e+04  5.24527301206949651e+07  3.10687281994257334e+20  8.80836465729443000e+15  4.05053286176918448e+00  0.00000000000000000e+00  4.04502564225463335e+00  4.99972944578314649e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85460214805649493e-01  1.31913735991140966e-04  9.12485064311390620e-03  2.46917734832977380e-04  1.30599353794811019e-03  7.91396084173247132e-04  8.29395896150070516e-04  4.23297905522463812e-04  1.13099440384088418e-04  7.38096347900000897e-05  3.82798105915377166e-06  3.42898303339661789e-05  0.00000000000000000e+00  1.46099277100956429e-03  0.00000000000000000e+00                        -                        -
   332  1.25224920631512353e+30  5.72833829948354219e+32  9.62573632740897298e+08 -9.70713003014437176e-07  5.21524354940609774e+04  5.24072015857438296e+07  3.06536506896940794e+20  8.77155965199801600e+15  4.05473520806919652e+00  0.00000000000000000e+00  4.04502496097795472e+00  4.99972944578314704e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85460381354303694e-01  1.32289545915094468e-04  9.12513959359631706e-03  2.46086425810404150e-04  1.30599353794801478e-03  7.91396084173265888e-04  8.29395896150088839e-04  4.23297905522469395e-04  1.13099440384091413e-04  7.38096347900020955e-05  3.82798105915386399e-06  3.42898303339670937e-05  0.00000000000000000e+00  1.46099277100959378e-03  0.00000000000000000e+00                        -                        -
   333  1.62520929244323456e+30  5.74459039240797419e+32  9.65273900120391130e+08 -9.78721344702654669e-07  5.15474281733831813e+04  5.23500232518747300e+07  3.01440994570498933e+20  8.72597380993911900e+15  4.05997989009871763e+00  0.00000000000000000e+00  4.04502426797779524e+00  4.99972944578314704e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85460550768970989e-01  1.32670055990251649e-04  9.12543763936750699e-03  2.45238455303520687e-04  1.30599353794790983e-03  7.91396084173287898e-04  8.29395896150102825e-04  4.23297905522477527e-04  1.13099440384094733e-04  7.38096347900039251e-05  3.82798105915388856e-06  3.42898303339679881e-05  0.00000000000000000e+00  1.46099277100960744e-03  0.00000000000000000e+00                        -                        -
   334  1.53984038729420777e+30  5.75998879628091637e+32  9.67851576914599419e+08 -9.86463209478201398e-07  5.08835057275334329e+04  5.22858915874757767e+07  2.95882933443589308e+20  8.67572483469135000e+15  4.06581081531855482e+00  0.00000000000000000e+00  4.04502359693518621e+00  4.99972944578314704e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85460714815833527e-01  1.33067230030665392e-04  9.12565922788585379e-03  2.44455645893615532e-04  1.30599353794778731e-03  7.91396084173276947e-04  8.29395896150111173e-04  4.23297905522472756e-04  1.13099440384095899e-04  7.38096347900035185e-05  3.82798105915399952e-06  3.42898303339677238e-05  0.00000000000000000e+00  1.46099277100963302e-03  0.00000000000000000e+00                        -                        -
   335  1.55181581465001188e+30  5.77550695442741679e+32  9.70468695972374797e+08 -9.94422281114223871e-07  5.02360496219359993e+04  5.22219992737932354e+07  2.90496965572228088e+20  8.62649758558549800e+15  4.07157657565032238e+00  0.00000000000000000e+00  4.04502282207073272e+00  4.99972944578314649e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85460904243641966e-01  1.33514349555083605e-04  9.12594194352006789e-03  2.43536382944084274e-04  1.30599353794769429e-03  7.91396084173279007e-04  8.29395896150130147e-04  4.23297905522491350e-04  1.13099440384095709e-04  7.38096347900044536e-05  3.82798105915405881e-06  3.42898303339685777e-05  0.00000000000000000e+00  1.46099277100962977e-03  0.00000000000000000e+00                        -                        -
   336  1.41378453087564862e+30  5.78964479973617345e+32  9.72870361654638529e+08 -1.00181516819194767e-06  4.96161909896430225e+04  5.21595210287054703e+07  2.85372334747455062e+20  8.57915493385630700e+15  4.07717142048741099e+00  0.00000000000000000e+00  4.04502213327609628e+00  4.99972944578314649e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85461072630392731e-01  1.33889690286084306e-04  9.12624485560144597e-03  2.42689743399228928e-04  1.30599353794759671e-03  7.91396084173307522e-04  8.29395896150139796e-04  4.23297905522494061e-04  1.13099440384098162e-04  7.38096347900061477e-05  3.82798105915408253e-06  3.42898303339688826e-05  0.00000000000000000e+00  1.46099277100966750e-03  0.00000000000000000e+00                        -                        -
   337  1.16440714628860798e+30  5.80128887119905948e+32  9.74861070278500080e+08 -1.00800864886320339e-06  4.90782416583466329e+04  5.21042423309690654e+07  2.80950187445404107e+20  8.53789611187751800e+15  4.08208788776687026e+00  0.00000000000000000e+00  4.04502146422549202e+00  4.99972944578314704e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85461236190459666e-01  1.34263207191114714e-04  9.12651823647507576e-03  2.41879285573991530e-04  1.30599353794752971e-03  7.91396084173314135e-04  8.29395896150165383e-04  4.23297905522500187e-04  1.13099440384100520e-04  7.38096347900071235e-05  3.82798105915416384e-06  3.42898303339695873e-05  0.00000000000000000e+00  1.46099277100968658e-03  0.00000000000000000e+00                        -                        -
   338  1.38664758918156149e+30  5.81515534709087496e+32  9.77246965799593806e+08 -1.01551118842120279e-06  4.85463845255954948e+04  5.20486752987533212e+07  2.76601488617927246e+20  8.49694956970655600e+15  4.08700676298358712e+00  0.00000000000000000e+00  4.04502078202112614e+00  4.99972944578314538e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85461402966219424e-01  1.34647932591256742e-04  9.12678797410910320e-03  2.41058046791099554e-04  1.30599353794748525e-03  7.91396084173315653e-04  8.29395896150179695e-04  4.23297905522505337e-04  1.13099440384103149e-04  7.38096347900078824e-05  3.82798105915420619e-06  3.42898303339701498e-05  0.00000000000000000e+00  1.46099277100971477e-03  0.00000000000000000e+00                        -                        -
   339  1.32194211983506741e+30  5.82837476828922528e+32  9.79537260391275764e+08 -1.02279596383248796e-06  4.79827510378274601e+04  5.19886822143026218e+07  2.72018242318185300e+20  8.45337964391677800e+15  4.09228257373811299e+00  0.00000000000000000e+00  4.04502018058058432e+00  4.99972944578314704e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85461549998031261e-01  1.34995395749740193e-04  9.12700644925400900e-03  2.40345076698980138e-04  1.30599353794746877e-03  7.91396084173329097e-04  8.29395896150196500e-04  4.23297905522519106e-04  1.13099440384106375e-04  7.38096347900103490e-05  3.82798105915432986e-06  3.42898303339716405e-05  0.00000000000000000e+00  1.46099277100975315e-03  0.00000000000000000e+00                        -                        -
   340  1.45578950327499264e+30  5.84293266332197523e+32  9.82077604544440150e+08 -1.03097257830987325e-06  4.74054663968154491e+04  5.19261014204119220e+07  2.67351219933422158e+20  8.40856763595380400e+15  4.09775640884605341e+00  0.00000000000000000e+00  4.04501947877387380e+00  4.99972944578314760e-01  0.00000000000000000e+00  0.00000000000000000e+00  9.85461721566062154e-01  1.35405693144771786e-04  9.12725006440878901e-03  2.39519596185722123e-04  1.30599353794747918e-03  7.91396084173399245e-04  8.29395896150242145e-04  4.23297905522552445e-04  1.13099440384113124e-04  7.38096347900157022e-05  3.82798105915464665e-06  3.42898303339740868e-05  0.00000000000000000e+00  1.46099277100983534e-03  0.00000000000000000e+00                        -                        -
